id,Area,city_id,zone_id
733,Airport Terminal 1,4,43
734,Airport Terminal 3,4,27
735,Airport- Uppal Orchid,4,27
736,Airport- Centaur Hotel,4,27
737,Airport- Mehram Nagar,4,27
738,Airport- Airforce Museum,4,36
739,Airport- Nangal Dewat,4,27
740,Airport- Delhi Cantt,4,31
741,Base Hospital,4,31
742,Cariappa Vihar,4,31
743,Kirby Place,4,31
744,Sadar Bazar Delhi Cantt,4,31
745,Gopinath Market,4,31
746,Delhi Cantt Railway Station,4,31
747,Nangal Rai,4,31
748,Lajwanti Garden,4,31
749,Arjun Vihar,4,31
750,Dwarka Sector 1,4,31
751,Dwarka Sector 2,4,31
752,Dwarka Sector 3,4,28
753,Dwarka Sector 4,4,28
754,Dwarka Sector 5,4,28
755,Dwarka Sector 6,4,28
756,Dwarka Sector 7,4,27
757,Dwarka Sector 8,4,27
758,Dwarka Sector 9,4,28
759,Dwarka Sector 10,4,28
760,Dwarka Sector 11,4,28
761,Dwarka Sector 12,4,28
762,Dwarka Sector 13,4,28
763,Dwarka Sector 14,4,28
764,Dwarka Sector 15,4,28
765,Dwarka Sector 16,4,28
766,Dwarka Sector 17,4,28
767,Dwarka Sector 18,4,28
768,Dwarka Sector 19,4,28
769,Dwarka Sector 20,4,28
770,Dwarka Sector 21,4,28
771,Dwarka Sector 22,4,28
772,Dwarka Sector 23,4,28
773,Dwarka Metro Station,4,28
774,Ambrahi,4,28
775,Pochanpur,4,28
776,Madhu Vihar,4,28
777,Shahbad Mohammadpur,4,28
778,Goyala Dairy,4,28
779,Nsit,4,28
780,Palam Colony,4,27
781,Palam Village,4,27
782,Sadh Nagar,4,27
783,Raj Nagar Ghaziabad,4,71
784,Dada Dev Mandir,4,27
785,Nasir Pur,4,27
786,Mahavir Enclave,4,27
787,Mangla Puri Palam,4,27
788,Dabri,4,27
789,Kailash Puri,4,27
790,Dasrathpuri,4,27
791,Vaishali Palam,4,27
792,Janakpuri A Block,4,32
793,Janakpuri B Block,4,32
794,Janakpuri C Block,4,32
795,Janakpuri D Block,4,32
796,New Mahavir Nagar,4,32
797,Shiv Nagar,4,32
798,"District Centre, Janakpuri",4,32
799,Janakpuri Authority,4,32
800,Sagarpur,4,32
801,Satyam Cinema,4,32
802,Janakpuri Checkpost,4,32
803,Janakpuri  East Metro Station,4,32
804,Mata Channan Devi Hospital,4,32
805,Vikaspuri A Block,4,32
806,Vikaspuri D Block,4,32
807,Vikaspuri H Block,4,32
808,Vikaspuri K Block,4,32
809,Vikaspuri F Block,4,32
810,Pvr Vikas Puri,4,32
811,Chander Vihar,4,32
812,Keshopur Depot,4,32
813,Keshopur Subzi Mandi,4,32
814,Crpf Camp Vikas Puri,4,32
815,Vikas Kunj,4,32
816,Kangra Niketan,4,32
817,Dhauli Piou,4,32
818,Uttam Nagar,4,30
819,Uttam Nagar East Metro Station,4,30
820,Uttam Nagar West Metro Station,4,30
821,Nawada,4,30
822,Om Vihar,4,30
823,Matiala,4,30
824,Raja Puri,4,30
825,Hastsal,4,30
826,Mansaram Park,4,30
827,Mohan Garden,4,30
828,Rama Park,4,30
829,Sewak Park,4,30
830,Kakrola Mor,4,30
831,Dwarka Mor Metro Station,4,30
832,Bhagwati Garden,4,30
833,Vipin Garden,4,30
834,Paschim Vihar,4,37
835,Paschim Puri,4,37
836,Meera Bagh,4,37
837,New Multan Nagar,4,37
838,Peeragarhi,4,37
839,Jwala Heri Market,4,37
840,Bhera Enclave,4,37
841,Sunder Vihar,4,37
842,Harkishan Nagar,4,37
843,Nihal Vihar_Paschim Vihar,4,37
844,Udyog Nagar,4,37
845,Paschim Viharnangloi Sayed,4,37
846,Punjabi Bagh,4,37
847,Punjabi Bagh West,4,37
848,Punjabi Bagh East,4,37
849,Punjabi Bagh Ext,4,37
850,Arihant Nagar,4,37
851,Madipur,4,37
852,Raja Garden,4,38
853,Rajouri Garden,4,38
854,Mansarower Garden,4,38
855,Vishal Enclave,4,38
856,Vishal Cineplex,4,38
857,Shivaji College,4,38
858,Bali Nagar,4,38
859,Kukreja Hospital,4,38
860,Esi Basai Darapur,4,38
861,Moti Nagar,4,38
862,Karampura,4,38
863,Kirti Nagar,4,38
864,Shivaji Enclave,4,38
865,Ranjit Nagar_Moti Nagar,4,38
866,Shadipur,4,38
867,Dlf Industrial Area Kirti Nagar,4,38
868,Ramesh Nagar,4,38
869,New Moti Nagar,4,38
870,Pvr Naraina,4,38
871,Naraina Indl. Area1,4,38
872,Naraina Indl. Area,4,38
873,Krishi Kunj,4,38
874,Inderpuri,4,38
875,Naraina Vihar,4,38
876,Naraina Village,4,38
877,Budh Nagar,4,38
878,Tilak Nagar,4,32
879,Khyala,4,32
880,Vishnu Garden_Tilak Nagar,4,32
881,Ganesh Nagar_Tilak Nagar,4,32
882,Tilak Vihar,4,32
883,Mukherjee Park,4,32
884,Minakshi Garden,4,32
885,Chaukhandi,4,32
886,Virendra Nagar,4,32
887,Subhash Nagar,4,32
888,Raghubir Nagar,4,32
889,Sham Nagar,4,32
890,Tagore Garden,4,32
891,Vishnu Garden_Subhash Nagar,4,32
