id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team,venue,match_date,ball_result,matches_date_1
335982,1,0,1,SC Ganguly,BB McCullum,P Kumar,0,1,1,0,NA,NA,NA,legbyes,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,18-04-2008,other,18-04-2008
335982,1,0,2,BB McCullum,SC Ganguly,P Kumar,0,0,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",19-04-2008,dot,19-04-2008
335982,1,0,3,BB McCullum,SC Ganguly,P Kumar,0,1,1,0,NA,NA,NA,wides,Kolkata Knight Riders,Royal Challengers Bangalore,Feroz Shah Kotla,19-04-2008,other,19-04-2008
335982,1,0,4,BB McCullum,SC Ganguly,P Kumar,0,0,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Royal Challengers Bangalore,Wankhede Stadium,20-04-2008,dot,20-04-2008
335982,1,0,5,BB McCullum,SC Ganguly,P Kumar,0,0,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,20-04-2008,dot,20-04-2008
335982,1,0,6,BB McCullum,SC Ganguly,P Kumar,0,0,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Royal Challengers Bangalore,Sawai Mansingh Stadium,21-04-2008,dot,21-04-2008
335982,1,0,7,BB McCullum,SC Ganguly,P Kumar,0,1,1,0,NA,NA,NA,legbyes,Kolkata Knight Riders,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",22-04-2008,other,22-04-2008
335982,1,1,1,BB McCullum,SC Ganguly,Z Khan,0,0,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",23-04-2008,dot,23-04-2008
335982,1,1,2,BB McCullum,SC Ganguly,Z Khan,4,0,4,0,NA,NA,NA,NA,Kolkata Knight Riders,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",24-04-2008,boundary,24-04-2008
335982,1,1,3,BB McCullum,SC Ganguly,Z Khan,4,0,4,0,NA,NA,NA,NA,Kolkata Knight Riders,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",25-04-2008,boundary,25-04-2008
